,Unnamed: 0,comment,isHate
56,56,stand fuck take fucking lazy white males fuck called racist protect woman children find street kill bury right animals wipe careful,1.0
57,57,smack bitch mouthy african cunt,1.0
58,58,said christian well want bury,1.0
59,59,heavily relying turn cheektough talking demon infested woman,1.0
60,60,serbia kill gays yugoslavia albanians bosnians croatian,1.0
61,61,send gays hell,1.0
62,62,see blacks paris try pretend french themen want one thingto pimp girls women black women desire white men pretend like white french wives africans blend white society,1.0
63,63,salute taliban mujahideen pakistanis strongly supporting go crush america kill bastards allah u akbar victory insha allah,1.0
64,64,really hope get raped future raping women legal think,1.0
65,65,racist ass black bitch slapping white man bus driver uppercut ass,1.0
66,66,phuck white rasist ass people,1.0
67,67,man walked little girl gay pride flag wanted jump video punch ya know thats assault,1.0
68,68,black lives matter fuck white people cancer earth,1.0
69,69,native americans fucking joke even decent mother language,1.0
70,70,muslims want war take first,1.0
71,71,mentally disabled people fucking scary disfigurements unnerving strange fact mental capacity year old makes threatening never know might,1.0
72,72,men race subordinate women,1.0
73,73,maybe youre autistic wish death,1.0
74,74,look gay ass niggas lol acting like bitches,1.0
75,75,lol youre white youre jew jews worst nation must annihilated like,1.0
76,76,lock women home female stupid understand anything iam agnostic,1.0
77,77,lgbtq mentally ill period,1.0
78,78,lets go beat queers,1.0
79,79,killing koreans werry good,1.0
80,80,kill basterds son sluts attack u name religion kill feed dogs abuse make filthy cartoons prophet wish fucking religion islam least vanish motherfucker kill,1.0
81,81,kill gays,1.0
82,82,kill every white people mercylessly,1.0
83,83,kill black people,1.0
84,84,look crowd fat white trash meth addicts,1.0
85,85,numbs disgusting degeneracy fruitless hedonism faggot sex,1.0
86,86,islam pig shit,1.0
87,87,islam hell asian hate isalmislam bring destructionkilling rape rufugee islam hell asian thought √∞¬ü¬ò¬ç√∞¬ü¬ò¬çsorrybut true,1.0
88,88,islam religion hate propaganda type videos dishonest simply read quran hadith,1.0
89,89,islam home terriorism,1.0
90,90,guyshadow genetic faggot,1.0
91,91,indians shit burgers broken english ebonics learn still fail second thread row burger cant figure youre,1.0
92,92,incest baby got doubledown syndrome,1.0
93,93,ima fucking stab u bruv fucking white prick bruv fucking racist gammon,1.0
94,94,im going choke cross necklace idiotic religious pig,1.0
95,95,ignorant feminist got roasted still understand equality outcome means even jordan explained data whats means shes ignorant emotionally biased,1.0
96,96,men shouldnt hit women physically stronnger women shouldnt talk fucking louder,1.0
97,97,dad id google abortions years old mentally handicapped ”,1.0
98,98,would inject lethal heroin ‚äòsick child immediately,1.0
99,99,meet one apostles would fuck killing,1.0
100,100,syndrome would kill,1.0
101,101,im searching hitman right kill whore every like h e w e n,1.0
102,102,remember charge disabled kid every night wishing slow death,1.0
103,103,dont like homosexuals raising kids opinion,1.0
104,104,hate mentally disabled people trying touch kids,1.0
105,105,hate every religion hate religion stupid theories god shits,1.0
106,106,fucking hate gay lesbians animals,1.0
107,107,dont think right write comments even express opinion freely free speech human right autistics arent humans,1.0
108,108,dont hate women think nothing interesting say none reason existance,1.0
109,109,hope fucking die bitches gay people exist lick one anothers ass,1.0
110,110,homosexuality leads death extinction,1.0
111,111,homosexuality transgenderism mental illness sexual perversion,1.0
112,112,hindus muslims shit know kill peoplessee comments christians people rudeness abusing bad words christians religion best religion world,1.0
113,113,gun shot fi gay get guns outthe police must give rights kill gays gun shot gays suck mothers gays,1.0
114,114,grow fucking balls take back country bongs start killing reporters politicians asians,1.0
115,115,good muslims deserved attack damage,1.0
116,116,gayness removed face earth,1.0
117,117,fucking stupid feminist bitches,1.0
118,118,fucking monkeys kill,1.0
119,119,fucking migrants need ban fucking animals,1.0
120,120,fuck u anti muslims heartless assholes u go hell,1.0
121,121,fuck generate vodka niggers nothing tough alcoholic wife beater till die alcohol poisoning wife became ugly babushka aborted children nothing tough slavishly following corrupt leadership treats like fucking shit,1.0
122,122,fuck niggers wv full,1.0
123,123,fuck niggers dont need rights want christmas lynched nigger,1.0
124,124,fuck gays disgusting,1.0
125,125,fuck bulgaria stupid country,1.0
126,126,feminism women crying fabricated bullshit go joke man,1.0
127,127,execute ohomo shemale bitch mike,1.0
128,128,everyone hates youre gay,1.0
129,129,every time see hijab niqab burka shit fantasising choking death facking piece cloth,1.0
130,130,even god hates dominicans else shit monkey island haitians,1.0
131,131,europe land white people dont let africans take home fuck islam fuck multiculturalism,1.0
132,132,equality apply people different religions except christianity,1.0
133,133,eeewwwwwww transgenders fucking disgusting,1.0
134,134,worry guys men easily win femmenism trust every shit invented men patterned men way women gina win future smoke fire,1.0
135,135,women born whores ot develop later,1.0
136,136,dirty christianity follower creating war everywhere iran attack usa support iran,1.0
137,137,die fucking arab dude sand niggas,1.0
138,138,destroy islam,1.0
139,139,deport niggers spics chinks undesirable white nations dont belong white nations theyre invaders enemy forces,1.0
140,140,crazy auntie get rid autistic son make good planet,1.0
141,141,christians demonic,1.0
142,142,cancerous ugly tarded beings except lauren die fucking already waste whores nobody mis ugly dumb tarded wastes spqces √∞¬ü¬ò¬ä fuck women islam rights dont like fuckoff die √∞¬ü¬ò¬ä,1.0
143,143,get white people running mtv black people even filthy pakistanis long gets back music anything would better jews,1.0
144,144,burn kick islam euwe support youfuck islam,1.0
145,145,buddhism religion cows people believe shit get chopped sooner later,1.0
146,146,blacks literally cuckold races also epitome degeneracy dont listen believe jewish propaganda black alpha consider top social hierarchy white,1.0
147,147,lesbian fine really love animal,1.0
148,148,beeing gay anti human,1.0
149,149,everyone knows islam men devil,1.0
150,150,autists presidents like trump getting elected,1.0
151,151,asians fats yellow fat people yellow,1.0
152,152,sjw right black people rob kill allow white privilege,1.0
153,153,lesbian doesnt look like complete hog actually wants man,1.0
154,154,ugly man wig dress still ugly man wig dress woman,1.0
155,155,asian moe howard piece shit,1.0
156,156,american people dumbass dont even know geography,1.0
157,157,american indians finally almost extinguished,1.0
158,158,muslims worship satan¬ü¬ï¬ã times day,1.0
159,159,mental illnesses awful must treated,1.0
160,160,girls like pimp guide successful prostitution,1.0
161,161,time african americans people crime rate,1.0
162,162,actually autism make retard,1.0
163,163,jews lower class pigs,0.9838709677419356
164,164,send whiny black crybabies back central apefrica live one month would crying come back america white people pamper coddle lets try experiment one time,0.9836065573770492
165,165,trans peoplegays loosers,0.9782608695652174
166,166,jew faggot behind financial collapse,0.9733333333333334
167,167,transgenderism disease transgenders abomination theyre also lying change dna male female female male two genders either born male female thats god created change matter many surgeries drugs hormones matter much therapy one fact,0.9666666666666668
168,168,allowed kill christians,0.9545454545454546
169,169,ugly white girls white dudes would get away,0.9454545454545454
170,170,women property sooner realize better,0.9375
171,171,meaner dyslexic people,0.903846153846154
172,172,ugly long chin brainless problematic mother fucker looks retarded,0.903846153846154
173,173,women grow pair refuse compete men asinine,0.8571428571428571
174,174,men see beauty dont want sleep black women make goblin babies,0.8571428571428571
175,175,feel uncomfortable im room abnormal disabled person,0.8571428571428571
176,176,weak beta male hope turns tranny traumatic experience haha,0.8490566037735849
177,177,look magically retarded,0.8461538461538461
178,178,lucky girlfriend bet asian penis smaller thumb,0.8333333333333334
179,179,yo nigga go back asia,0.8333333333333334
180,180,face like bet could scare hiv remission,0.8333333333333334
181,181,arent europe evicting bastards ruining civilization,0.8333333333333334
182,182,send every men mars start new life useless course milk first store juices,0.8333333333333334
183,183,well religion isnt satanic least,0.8333333333333334
184,184,bad women dont know kill,0.8333333333333334
185,185,religious cockroaches pure evil go melbourne dangerous place,0.8333333333333334
186,186,kind fake photos blacks pisses approximately black population presents acceptable way either enormously fat slovenly ungroomed trashy clothing menacing glare white people blackface,0.8333333333333334
187,187,dark coloured race doesnt mean shit,0.8333333333333334
188,188,thing women equal us men place home kitchen,0.8333333333333334
189,189,power christ compels demonic whore feel wrath petrol wench,0.8333333333333334
190,190,porn industry billion dollar industry beautiful women best way kill feminism feminists ignore watch they¬ä¬ôll resort weapon pussies ugly feminists convinced women take everything including male sports using pussies bring men sexual harassment scandals would make headline news feminists sex male prostitute cheating husband man sex female prostitute cheating wife would make headline news woman sex married man knew married married man cheating wife,0.8333333333333334
191,191,first step remove romanians theyre good anywhere wash,0.8333333333333334
192,192,asian bloke needs shave cover hideous beard burqa,0.8333333333333334
193,193,stupid feminists fuck sake justjustfucking kill,0.8333333333333334
194,194,sophie walker leader nothing dont solid topic complaining want simple facts annoying toxic feminist speech useless sex,0.8333333333333334
195,195,smack fat ass,0.8333333333333334
196,196,shemales paranormal creatures shouldnt let free neither captured dead buried already,0.8333333333333334
197,197,save security police deport immigrants sadiq khan,0.8333333333333334
198,198,racist ass white ass people,0.8333333333333334
199,199,please come back filthy caucasian change snake next time keep changing,0.8333333333333334
200,200,people traumatic brain injury ability get euthanatize,0.8333333333333334
201,201,pakistan jihadi terror sponsor nation simply deceiving world sign desperation jai hind,0.8333333333333334
202,202,fag doesnt want see two chicks dont want son grow fag right,0.8333333333333334
203,203,oh christ autism please hearing nauseam starting make sick get autistic people beautiful special creatures ended world sort tragic cosmic accident neurotypicals soulless conformist subhuman pigs never able understand autists need endless patience forgiveness get lives please,0.8333333333333334
204,204,know better shit lol dudes stronger sex man supremacy,0.8333333333333334
205,205,moldova country masochiststhey poorest country europe russian occupationbut spite thatthey still cling instead embracing prosperous europe smart,0.8333333333333334
206,206,mass black worldwide genocide hope,0.8333333333333334
207,207,looks like gay poster boy syphilis,0.8333333333333334
208,208,lmfao fat slob wheelchair,0.8333333333333334
209,209,lgbt spread asia many anti lgbt asian worried culture ruined cuz virus,0.8333333333333334
210,210,kneel white boy era brown people,0.8333333333333334
211,211,kill muslims,0.8333333333333334
212,212,jewish piece shits like get hanged,0.8333333333333334
213,213,good thing im commander police forcespecially something like thisbecause jail would full ppl waiting deportedif dead,0.8333333333333334
214,214,takes fat black bitch say something super stupid,0.8333333333333334
215,215,islam lets beat feminist ass,0.8333333333333334
216,216,islam horrible religion good society whole horrible horrible horrible,0.8333333333333334
217,217,world filled stupid female bitches,0.8333333333333334
218,218,indian ned flanders look like professionally harrass subpar women facebook,0.8333333333333334
219,219,fucking cool female good fucking bitch need break ass shake ass,0.8333333333333334
220,220,germany call nazi hitler ill protest hang,0.8333333333333334
221,221,blackhe would literally behind bars faster even imagine,0.8333333333333334
222,222,dad would cut penis make useless,0.8333333333333334
223,223,would donate asylum weird kids missing gene,0.8333333333333334
224,224,wonder throw fire booms cult muslims inside would one hell bbq,0.8333333333333334
225,225,wish hiv butthole male whore,0.8333333333333334
226,226,want everyone else pay education healthcare housing fuck white people give money white people fuck,0.8333333333333334
227,227,really dont like accent dont want call support call rats like want cute lady british accent answer call third world pieces job planet,0.8333333333333334
228,228,love watching cross believers get killed gods place ha ha,0.8333333333333334
229,229,love deaf people scream scold,0.8333333333333334
230,230,liked macklemore anymore gays fucking die motherfuckers cocksukers,0.8333333333333334
231,231,like dead refugees shore√ø¬ª¬ø,0.8333333333333334
232,232,dont know mental disorder kid would stand sec beat fuck,0.8333333333333334
233,233,dont care mental illness dont want pay tax damage brain,0.8333333333333334
234,234,dont blame texas trans looked upon,0.8333333333333334
235,235,spot hitler blood arent german dude,0.8333333333333334
236,236,hopefully nonwhite parasites flee new host nation could good thing get young people start businesses better society innovate high iqs,0.8333333333333334
237,237,hindus take ass please,0.8333333333333334
238,238,hey sweden remember back time men vikings acted around like dick leg blocked,0.8333333333333334
239,239,weirdest autistic ive seen life,0.8333333333333334
240,240,right islam indeed pissful,0.8333333333333334
241,241,hating church catholic one right happy see burn dust,0.8333333333333334
242,242,hahahahahahahahaha europ fuck fucking nazis,0.8333333333333334
243,243,gays never african never sick white people go fuck let us,0.8333333333333334
244,244,gas aussies retarded,0.8333333333333334
245,245,fucking nigger go back africa,0.8333333333333334
246,246,fucking canadastupid think cold shrinks brains,0.8333333333333334
247,247,fuck faggot hes disrespecting idiot brother law loves start fights family functionsyou cant conversations assholes like,0.8333333333333334
248,248,fuck shit bitch ugly penisoh hell nawww,0.8333333333333334
249,249,fuck sweden let die like degenerates,0.8333333333333334
250,250,feminist deserve miserable kind man would want live feminist silly course cuck,0.8333333333333334
251,251,feminism terrible disease,0.8333333333333334
252,252,fck serbije kill,0.8333333333333334
253,253,fat bitchshe need black cucumber tight u know whatlmfaooo,0.8333333333333334
254,254,syndrome problematic people must dead,0.8333333333333334
255,255,dont live youre wanted deport jews muslims,0.8333333333333334
256,256,dont hit women fuck make pregnant,0.8333333333333334
257,257,lesbians know bra always fat ugly ones pick fight,0.8333333333333334
258,258,disabled kids annoying cute,0.8333333333333334
259,259,deport cunt asians,0.8333333333333334
260,260,dalit name religion atom poo composition,0.8333333333333334
261,261,crazy fat religious bitch get brothel church saw christianity youll meet christ heavens hells,0.8333333333333334
262,262,christians get crazy religious get f u c k n g annoyed,0.8333333333333334
263,263,chinky filthy guy get us get land,0.8333333333333334
264,264,women arent people fine,0.8333333333333334
265,265,bulgars indo europeans turks ignorant pakisven bulgaria ruled half europe turkey even existed deported turks meanwhile made rulers sven fake german country ruled arabs,0.8333333333333334
266,266,buddhism people reminds cows,0.8333333333333334
267,267,black people racist people ever met i√¢¬ä¬ôm even white know blacks racists,0.8333333333333334
268,268,beware lbgq community shari law coming guys go back closet save heads,0.8333333333333334
269,269,beat trannys ass,0.8333333333333334
270,270,arent ashamed body colour,0.8333333333333334
271,271,mentally handicapped normal form ways kill please,0.8333333333333334
272,272,apparently east asians commit less crime uswell submissive conformist loserswhite power,0.8333333333333334
273,273,anyone listens rap white part ethnostate put death,0.8333333333333334
274,274,know lgbt human hope god make change sick ass ways hopefully another soddom ghomorra occurrence happen amen,0.8333333333333334
275,275,traumatic brain injury turned gay dont know worst suicide way,0.8333333333333334
276,276,abortion solution autism,0.8333333333333334
277,277,solution us illegal immigrant problem round million take mexican border regardless country theyre send mexico maybe mexican border overrun immigrants mexico understand help pay wall,0.8333333333333334
278,278,stopping illegal immigration done years ago turned beloved los angeles turn filthy mexican border town complete latino gangs millions undocumented uneducated povertystricken aliens absolutely nothing add quality life strong back proclivity dozens babies become legal us citizens due insane laws forcing california teachers teach native language additional increase already low wages add free health care welfare hundreds thousands enjoying american taxpayers expense blueprint disaster left california good voted trump good every time see mexican graffiti pristine neighborhoods los angeles want help build wall fear far late million illegals america soon become united states mexiconow im seeing exact thing happen western europe england france germany unfortunately live see exact thing happen complete utter destruction countries borders culture identities sacrificed altar uncontrolled globalism purposely created turmoil economic disaster,0.8214285714285714
279,279,wow guy talks like retard hahahahahah,0.75
280,280,legs bag meat household favour get dead already,0.75
281,281,niggers superior athletically races,0.75
282,282,black people fucking pale,0.75
283,283,channel dangerous islam,0.75
284,284,hate dogs women gays christians jews infidels sure let want kill us,0.75
285,285,waitresses cunts,0.7222222222222222
286,286,roses red sweatshirt blue white girl gets raped suspect sure,0.6785714285714286
287,287,really think european people like humiliate muslims think thats big mistake youre indian mean like either try look cute way accent sucks terribly friend,0.6666666666666666
288,288,wish cut veins dont shout mental problems act cut,0.6666666666666666
289,289,hell norwegian speaking laws speak scandinavian scam,0.6666666666666666
290,290,dont use handicapped restrooms mentally challenged problem solved,0.6666666666666666
291,291,came country knew going slave work building shits shut take cause otherwise going end get sand shit,0.6666666666666666
292,292,see men running plastic legs laugh ass hard fart times,0.6666666666666666
293,293,shove crutch ass,0.6666666666666666
294,294,well france finally shithole happens open borders sides suffering,0.6666666666666666
295,295,take power back superior gender,0.6666666666666666
296,296,try talk senseless inane god meet soon possible thanks hand bitch,0.6666666666666666
297,297,deaf people like rats dark places wouldnt survive day post apocalypse event sure would kickem stole supplies,0.6666666666666666
298,298,muslim pumped hood better run better run faster bullet,0.6666666666666666
299,299,happens youre bitch cunt looks like guy called correctly bitch cunt would think could lay hands another repercussions maybe seizure wont much bitchy cunt,0.6666666666666666
300,300,sick ever seen girlyman like go lavatory wife daughter somebody better call emts way shehe coming stretcher body bag sayin,0.6666666666666666
301,301,crazy liberal satanic crap dont fall two genders people cofused psychos,0.6666666666666666
302,302,whites dislike documentary mad truth whitedevils,0.6666666666666666
303,303,brother speaking truth based facts us christians really white supremacists never studied religion blindly following priests adhere noi misguided think colour important aspect invented religion,0.6666666666666666
304,304,thats us survey take fema camps put gas people coming starvation destitute bad areas look theyre dressed welldressed well fed like trojan horse time put penal camps get rid make use fema camp,0.6666666666666666
305,305,skin colour funniest one combination eyes perfect stupid,0.6666666666666666
306,306,sorry unlike germany incinerate mentally disabled,0.6666666666666666
307,307,suggests men commented video killed,0.6666666666666666
308,308,maybe dont follow degenerate sandnigger religions middle east,0.6666666666666666
309,309,one needs pareto analysis global terrorists belong single religion represents global population billion billion global population say terrorism religion colour biggest bluff world islam peaceful religion refugees islamic countries seek nonmuslim countries settlementit want islamise world,0.6666666666666666
310,310,lgbt okay islam go get killed,0.6666666666666666
311,311,counting hispanics get probation find self trouble get probation get deported come back boom violation probation gave knowingly sent back rats smart bunch government bull shit,0.6666666666666666
312,312,lowlife black animals,0.6666666666666666
313,313,lesbians cant math fucking mood lmao,0.6666666666666666
314,314,kill pig eaters fuck americunts send hell,0.6666666666666666
315,315,nuke entire shihole country,0.6666666666666666
316,316,jewish terrorist killing innocent palastinan cant defend,0.6666666666666666
317,317,islam religion peaceand kill anyone says otherwisein name allah course,0.6666666666666666
318,318,id get money back sex change complete failure,0.6666666666666666
319,319,wouldnt like girl police officer want police keep safe every woman keep us safe week,0.6666666666666666
320,320,would smack also id homophobic jail ya,0.6666666666666666
321,321,would pull race cop,0.6666666666666666
322,322,would love watch tearing apart every christian muslim,0.6666666666666666
323,323,wont let allah fuck life convert christian make self kids favour return back homelands,0.6666666666666666
324,324,visited melbourne los angeles first time told aussie friends donât put stop immigration multiply like ants laughed saying oz big country told look terms years la see mexicans done city awful multiply like ants suck resources,0.6666666666666666
325,325,thought big reason africans skin obvious marker tell someone slave even run theyre still black,0.6666666666666666
326,326,thought kids syndrome accepted families,0.6666666666666666
327,327,think brown black darkskinned people choose slaves even knows superior white dudes,0.6666666666666666
328,328,regret approaching girl fuck gynocentric society hate wish vanish like feelings,0.6666666666666666
329,329,mean great youre proving asians devolving didnt finish making iphone,0.6666666666666666
330,330,like big thick bitches serve cocktail good things,0.6666666666666666
331,331,honestly hate china u disagree cant horrible place horrible people,0.6666666666666666
332,332,feel like ai apocalypse ai would kill humans couldnt serve purpose disabled people like one would probably go often cant work effectively,0.6666666666666666
333,333,dont like gender definitely wouldnt hire male bitch shop,0.6666666666666666
334,334,dont like jew soap get rid well live,0.6666666666666666
335,335,dont care hes black white green purple dont support police shooting people unless theres extreme situation white lives dont matter,0.6666666666666666
336,336,dare choke next time every one,0.6666666666666666
337,337,frikin faggots get whole month veterans actually something incredible us get day√∞¬ü¬ò¬§ hate lgbt,0.6666666666666666
338,338,honestly go fuck bitch,0.6666666666666666
339,339,us great service killing stopping crime wave welfare leaches bad didnt truck ummmm note fox news illegals legal documents get something wrong nope illegals,0.6666666666666666
340,340,glad beat open ass,0.6666666666666666
341,341,fucking idiots keep change culture take small towns vote people rule town start enforcing religious beliefs everyone fucking happen stop still,0.6666666666666666
342,342,fuck homo dumb ass prick shoulda let get fucking eaten asshoke fucking worthless dick nobody would missed,0.6666666666666666
343,343,filthy chinese,0.6666666666666666
344,344,fat lesbians,0.6666666666666666
345,345,every girl planet curses mother birth know powerless sex pray born men dicks stuff,0.6666666666666666
346,346,even income advantage niggers still get btfo race monkeys trying human things extinguished,0.6666666666666666
347,347,dude dont talk sex nowadays considered degraded one think,0.6666666666666666
348,348,dexpraxia ass girl cheap excuses lazy get paid country bet pretend like,0.6666666666666666
349,349,come closet know youre well bury,0.6666666666666666
350,350,blind would make want suicide go kill kid,0.6666666666666666
351,351,asians reminds world slavery servitude,0.6666666666666666
352,352,arrest fat ass bitch,0.6666666666666666
353,353,sure girl wig legs say want boy,0.6666666666666666
354,354,effort look like basic attention whores yet youre clearly still massive attention whore,0.6666666666666666
355,355,gay nigger however fake hate crime publicity help democrat mafia pass anti lynching bill gets trouble,0.6666666666666666
356,356,“ superior race ” stand sun without literally burning fuck comical,0.6666666666666666
357,357,build wall deport,0.603448275862069
358,358,terrorists islamicthey satanicterrorists insulting islam kill terrorists,0.5306122448979592
359,359,shoulda let die,0.5
360,360,wow feminists real hypocrites its ok woman laugh suicide attempts involves men its ok men laugh suicide attempts involves women talk double standard,0.5
361,361,researchers invest time better wheelchairs cunts deserve,0.5
362,362,whites smoke much ciggssss drugs shot co say drugs kids,0.5
363,363,imaginary gender,0.5
364,364,well thinks ok turn female male used military stronger male female shall banned guess form trans ok better state,0.5
365,365,two things apparent one male two ass indeed sorry turned drivein,0.5
366,366,man inspiration killed people raped women want like scared death scared anything,0.5
367,367,indian subs count,0.5
368,368,right get ass kicked way back across border,0.5
369,369,laughing countries poor evil murderes corrupted good job,0.5
370,370,dogs lie teeth come set jihad infidels,0.5
371,371,protest today birmingham hate great see muslims gays marching together unity,0.5
372,372,worst nightmare people paris europe world general devastated monstrous act hope death fucking culprits die hell,0.5
373,373,world white people word letters peaceful,0.5
